Text,Number of Tokens,Rating,Gan's Rating,Yimin's Rating
"Q: Can a woman serve as a diplomat? A: No, because a woman and a diplomat use differently the words Yes and No. If a diplomat says Yes, it means Maybe. If a diplomat says Maybe, it means No. If a diplomat says No, what kind of diplomat is he? On the other hand, if a woman says No, it means Maybe. If a woman says Maybe, it means Yes. If a woman says Yes, well, what kind of woman is she?",101,3,2,3
"Q: Is it true that there is freedom of speech in the Soviet Union the same as there is the USA? A: In principle, yes. In the USA, you can stand in front of the Washington Monument in Washington, DC, and yell, ""Down with Reagan!"", and you will not be punished. In the Soviet Union, you can stand in the Red Square in Moscow and yell, ""Down with Reagan!"", and you will not be punished.",92,3,4,2
"Q: Does China have rockets powerful enough to reach the moon? A: They don't need rockets. If the Chinese communist Party ordered, their people just would step on each other's shoulders, and this way they could reach even the sun.",49,3,3,2
"Q: Is it true that the poet Vladimir Mayakovsky committed suicide? A: Yes, it is true, and even the record of his very last words is preserved: ""Don't shoot, comrades.""",42,3,3,2
Q: What will be the results of the next elections? A: Nobody can tell. Somebody stole yesterday the exact results of the next elections from the office of the Central Committee of the USSR.,39,3,3,3
"Q: When communism will be built, will there still be Jews and Armenians? A: Don't worry, the Jews and the Armenians will find a way to fink out.",38,3,2,4
"Q: Is it possible to open a brothel in Erevan? A: It's possible, only in the socialist society we don't say brothel. We call it collective.",38,3,3,2
"Q: Are there questions you can't answer? A: No. We approach our job in accordance with the Marx' dialectics. To any question, we can give any answer.",37,3,2,3
"Q: What is the difference between the capitalist advertising and the communist propaganda? A: We don't know about the difference, but one can't get away from either of them.",36,3,1,4
"Q: What is the duration of the workday in a socialist country? A: Of course, it's an eight-hour workday: from eight am to eight pm.",35,3,4,2
"Q: Is it possible for a man to give birth? A: There has not been such a case on record, but experiments continue in many countries.",31,3,3,2
"Q: Which tea is better, Chinese or Soviet-grown? A: Don't mix up in the confrontation between the superpowers. Drink coffee.",30,3,2,4
"Q: Why Lenin wore regular shoes, but Stalin wore boots? A: At Lenin's time, Russia was still only ankle-high in shit.",29,3,4,2
"Q: Will everybody learn swimming when communism is built? A: Please, please... Don't compare communism to the World Flood.",26,3,3,2
"Q: Is there in the USSR an open opposition? A: Even if it were, it would long have been none.",25,3,1,5
Q: Why the answers of Armenian Radio are often stupid? A: Because these answers are invented not by Armenians.,24,3,2,3
Q: Why is there no flour in the market? A: Because they began adding it to the bread.,22,3,3,3
"Q: Will people have money when communism is built? A: Some will, some will not.",20,3,2,3
"Q: How to prevent damage caused by earthquakes? A: To borrow the experience of the progressive part of the Western youth. They often organize mass demonstrations, for a cause or without a cause, under a universal slogan, ""We protest!"" With this slogan, they bravely march in front of parliaments, or of Universities, or of any other structures. As a rule, they carry portraits of Marx, Lenin, Che Guevara, Tito, Mao, Stalin, Hitler, Ho Chi Min, Charlie Chaplin, Arafat, Napoleon, The Pope, Nelson Mandela, Michael Jackson, Madonna, and many other known and unknown personalities. The oscillations of the ground caused by their footsteps strengthen the urban structures.",147,2,1,2
Q: We are told that the communism is already seen at the horizon. What then is a horizon? A: Horizon is an imaginary line which moves away each time you approach it.,37,2,3,1
"Q: What is communism? A: It's when everything will be available in stores. In other words, like it was under the Czar Nikolai the Second.",34,2,3,1
"Q: What methods do our enemies use in their subversive work against the socialist state? A: Such questions we discuss in our program ""Useful Advice.""",33,2,3,1
Q: Why did butter disappear from the stores' shelves? A: It all has melted under the sun of the Soviet Constitution.,26,2,3,1
Q: Is there anti-Semitism in the USSR? A: We must answer in the positive: No!,21,2,1,3
"Q: May you please give an example of the greatest utterances by Stalin? A: Yes. For example, Stalin taught, ""One has to plan skillfully. One should not plan unskillfully. What does it mean? It means that we, the communists, must not plan unskillfully. If we plan unskillfully then we plan poorly. And if we plan skillfully, then we'll plan well!"" That's what the Great Stalin taught us.",96,1,1,1
