Text,Number of Tokens,Rating,Gan's Rating,Yimin's Rating
"Q: Why did you not broadcast for such a long time? A: We had to make some changes to our staff. The previous broadcaster, while reading an article that contained the words, ""Socialism is nothing as compared with communism,"" made a pause too long after the word ""nothing.""",59,4,3,4
"Q: Why do some people say that Hungarians love the Russians and hate the Americans? A: Because Russians helped Hungarians to get rid of one totalitarian rule, but Americans didn't help to get rid of the other.",45,4,4,3
"Q: Why Solzhenitsyn, Brodsky, Bukovsky, and other dissidents have been exiled from the country? A: Don't you know that the best products are always selected for export?",44,4,5,3
"Q: Is it true that American skyscrapers are the tallest in the world? A: Yes, it's true, but on the other hand the Soviet-made transistors are the largest in the world.",43,4,3,4
"Q: How will the people know that communism has finally arrived? A: Don't worry, the newspapers and radio will announce this in a timely fashion. As to TV, it's not yet known.",41,4,4,4
"Q: Could an atomic bomb destroy our beloved town, Yerevan, with its splendid buildings and beautiful gardens? A: In principle, yes. But Moscow is by far a more beautiful city.",40,4,5,3
"Q: Why the symbol of the Republicans in the US is an elephant, but that of the Democrats is an ass? A: Because no ass can symbolize two political parties at the same time.",40,4,4,3
Q: What to do if a man you don't know takes a seat at your table in a pub and starts to sigh? A: Immediately demand to stop the anti-Soviet propaganda.,39,4,4,4
"Q: Is it true that American cars are the fastest in the world? A: Yes, it's true, but on the other hand, our Soviet watches are the fastest in the world.",39,4,3,4
"Q: Is it true that in the Soviet Union people do not need stereophonic equipment? A: In principle, yes. One hears exactly the same thing from all sides.",36,4,3,4
Q: Is it true that half of the members of the Central Committee are idiots? A: What a crazy question. Half of the members of the Central Committee are not idiots!,36,4,4,4
"Q: Will there be a third world war? A: No, but the struggle for peace will reach such a degree that there will be no stone left intact on the earth.",36,4,2,5
Q: Is it true that the Suez Canal was built to connect the Mediterranean with the Red Sea? A: Not true. It was built to separate Israel from Egypt.,35,4,3,4
Q: What should we do if the Western borders of the USSR were opened? A: Rush to Siberia at once in order not to be crushed in the stampede.,35,4,5,3
"Q: Is it possible to wrap an elephant in a newspaper? A: Yes, if this is the issue that features a speech by Khrushchev.",33,4,3,5
"Q: Is there a problem of racism in the USSR? A: No. In our country, both the whites and the blacks are counted among the red.",32,4,3,4
Q: Why do we have all those shortages in meat supply? A: We are approaching communism at such a high pace that the cattle lags behind.,31,4,5,2
Q: What do the leaders of the communist countries have in common with the unemployed in the West? A: They all are uncertain about their next day.,31,4,3,4
"Q: Are the bedbugs also builders of socialism? A: Of course, in their veins flows the workers-and-peasants' blood.",29,4,5,2
"Q: Is it possible to build socialism in one stand-alone country? A: It's possible, but better to live in another country.",28,4,4,4
Q: Why is our government not in a hurry to land our men on the moon? A: What if they refuse to return?,27,4,5,2
"Q: What is the easiest way to explain the meaning of the word ""communism?"" A: By means of fists.",26,4,5,2
Q: What is the longest joke? A: The speech made by Khrushchev at the Party congress.,24,4,2,5
Q: What is a Soviet musical duet? A: It's a musical quartet after a trip abroad.,23,4,5,2
"Q: Is there life on other planets? A: On other planets, there is also no life.",21,4,3,4
Q: What is it that starts with an R and never ends? A: Reorganization.,19,4,3,5
Q: What is the most permanent feature of our socialist economy? A: Temporary shortages.,18,4,3,4
Q: What is chaos? A: We do not comment on national economics.,16,4,3,4
Q: What is a one-word joke? A: Communism,13,4,2,5
"Q: Can a woman serve as a diplomat? A: No, because a woman and a diplomat use differently the words Yes and No. If a diplomat says Yes, it means Maybe. If a diplomat says Maybe, it means No. If a diplomat says No, what kind of diplomat is he? On the other hand, if a woman says No, it means Maybe. If a woman says Maybe, it means Yes. If a woman says Yes, well, what kind of woman is she?",101,3,2,3
"Q: How should be a mermaid and a centaur depicted to meet the laws of Socialist Realism? A: The mermaid should have the upper part that of a fish, and the lower part that of a woman, the legs clad in stockings and shoes. As to the centaur, the upper part remains that of a man, but the lower part, rather than being that of a horse, is replaced with a tractor, desirably with spare parts.",95,3,2,3
"Q: Is it true that there is freedom of speech in the Soviet Union the same as there is the USA? A: In principle, yes. In the USA, you can stand in front of the Washington Monument in Washington, DC, and yell, ""Down with Reagan!"", and you will not be punished. In the Soviet Union, you can stand in the Red Square in Moscow and yell, ""Down with Reagan!"", and you will not be punished.",92,3,4,2
Q: What will be the sentence in the case of citizens Arutyunyan and Akopyan whose trial is expected to be completed next week? A: Nobody can tell. The text of the sentence was stolen yesterday from the District Party Committee.,50,3,3,3
"Q: Does China have rockets powerful enough to reach the moon? A: They don't need rockets. If the Chinese communist Party ordered, their people just would step on each other's shoulders, and this way they could reach even the sun.",49,3,3,2
"Q: Why the man who shot at a government limousine on the Red Square, missed the target? A: Because citizens who happened to be next to him tried to wrest the gun from him and shouted, ""Let me shoot!""",48,3,5,1
"Q: Is it true that the poet Vladimir Mayakovsky committed suicide? A: Yes, it is true, and even the record of his very last words is preserved: ""Don't shoot, comrades.""",42,3,3,2
"Q: When the final phase of socialism, namely communism, is built, will there still be thefts and pilfering? A: No, because everything will be already pilfered during socialism.",41,3,3,3
Q: What will be the results of the next elections? A: Nobody can tell. Somebody stole yesterday the exact results of the next elections from the office of the Central Committee of the USSR.,39,3,3,3
"Q: Moscow radio tells me every day about the cornucopia of food in our country, while my fridge is empty. What should I do? A: Plug your fridge into your radio.",39,3,3,3
"Q: When communism will be built, will there still be Jews and Armenians? A: Don't worry, the Jews and the Armenians will find a way to fink out.",38,3,2,4
"Q: What if socialism were built in Greenland? A: First snow would become available only through ration cards, and later snow would be distributed only to the KGB officers and their families.",38,3,4,2
"Q: Is it possible to open a brothel in Erevan? A: It's possible, only in the socialist society we don't say brothel. We call it collective.",38,3,3,2
"Q: Is it true that the Berlin Wall was built to separate the West from the East? A: No, it's not true. It was built to separate East from West.",37,3,3,2
"Q: Are there questions you can't answer? A: No. We approach our job in accordance with the Marx' dialectics. To any question, we can give any answer.",37,3,2,3
"Q: Was comrade Lenin a scientist or a politician? A: Of course, a politician. If he were a scientist, he would've first tried his theories on dogs.",36,3,4,1
"Q: What is the difference between the capitalist advertising and the communist propaganda? A: We don't know about the difference, but one can't get away from either of them.",36,3,1,4
Q: What is the difference between the capitalist and the socialist trade? A: Capitalist trade means everything is to be sold. Socialist trade means everything is to be bought.,35,3,3,2
"Q: What is the duration of the workday in a socialist country? A: Of course, it's an eight-hour workday: from eight am to eight pm.",35,3,4,2
"Q: What is the difference between newspapers and radio? A: You can use a newspaper to wrap a herring, but you can't wrap it in radio waves.",34,3,2,4
"Q: Is it possible for a man to give birth? A: There has not been such a case on record, but experiments continue in many countries.",31,3,3,2
Q: Why did Stalin work only at nighttime? A: Are you indeed that naive? Even kids know who sets out to work only after dark.,30,3,2,3
"Q: Which tea is better, Chinese or Soviet-grown? A: Don't mix up in the confrontation between the superpowers. Drink coffee.",30,3,2,4
"Q: Is it possible to build socialism in Switzerland? A: It's possible, but why? Did Switzerland really do something wrong to you?",29,3,3,3
"Q: Why Lenin wore regular shoes, but Stalin wore boots? A: At Lenin's time, Russia was still only ankle-high in shit.",29,3,4,2
"Q: When the elections were first held using the Soviet method? A: When Adam was electing his wife, and Eve her husband.",28,3,3,3
"Q: Will everybody learn swimming when communism is built? A: Please, please... Don't compare communism to the World Flood.",26,3,3,2
"Q: Is it possible to build communism in America? A: It's possible, but who will we buy grain from?",25,3,4,2
"Q: Is there in the USSR an open opposition? A: Even if it were, it would long have been none.",25,3,1,5
Q: is it possible to solve a problem which has no solution? A: We don't answer questions related to agriculture.,25,3,2,4
Q: Why the answers of Armenian Radio are often stupid? A: Because these answers are invented not by Armenians.,24,3,2,3
Q: What is the greatest achievement of Soviet agriculture? A: Sowing in the USSR and harvesting in America.,23,3,4,1
Q: Why is there no flour in the market? A: Because they began adding it to the bread.,22,3,3,3
Q: Is it true that you always lie? A: We always lie only in the sheer truth.,21,3,3,3
"Q: Will people have money when communism is built? A: Some will, some will not.",20,3,2,3
"Q: Under communism will we still have money? A: No, none of that either.",19,3,1,5
"Q: How to prevent damage caused by earthquakes? A: To borrow the experience of the progressive part of the Western youth. They often organize mass demonstrations, for a cause or without a cause, under a universal slogan, ""We protest!"" With this slogan, they bravely march in front of parliaments, or of Universities, or of any other structures. As a rule, they carry portraits of Marx, Lenin, Che Guevara, Tito, Mao, Stalin, Hitler, Ho Chi Min, Charlie Chaplin, Arafat, Napoleon, The Pope, Nelson Mandela, Michael Jackson, Madonna, and many other known and unknown personalities. The oscillations of the ground caused by their footsteps strengthen the urban structures.",147,2,1,2
"Q: In our factory's mess hall, the tea is not sweet at all, while the mess manager says he puts sugar according to the prescribed dose. What shall we do? A: Try to stir your tea counterclockwise rather than clockwise.",51,2,2,1
Q: We are told that the communism is already seen at the horizon. What then is a horizon? A: Horizon is an imaginary line which moves away each time you approach it.,37,2,3,1
Q: Are there men who do not cheat on their wives when they are on prolonged business trips? A: Of course. Soviet cosmonauts and American astronauts.,34,2,1,3
"Q: What is communism? A: It's when everything will be available in stores. In other words, like it was under the Czar Nikolai the Second.",34,2,3,1
"Q: Is there a difference between capitalism and communism? A: In principle, yes. In capitalism, man exploits man. In communism, it's the reverse.",33,2,1,3
"Q: What methods do our enemies use in their subversive work against the socialist state? A: Such questions we discuss in our program ""Useful Advice.""",33,2,3,1
"Q: What is Sholokhov writing now? A: A crime novel titled ""How I Received the Nobel Prize in Literature.""",28,2,2,1
Q: Why did butter disappear from the stores' shelves? A: It all has melted under the sun of the Soviet Constitution.,26,2,3,1
Q: Is it possible in a socialist country to end up under a train? A: Easier than on a train.,25,2,2,2
Q: Is there anti-Semitism in the USSR? A: We must answer in the positive: No!,21,2,1,3
Q: What is cosmopolitan? A: Cosmonaut's deputy in political affairs.,18,2,2,2
"Q: May you please give an example of the greatest utterances by Stalin? A: Yes. For example, Stalin taught, ""One has to plan skillfully. One should not plan unskillfully. What does it mean? It means that we, the communists, must not plan unskillfully. If we plan unskillfully then we plan poorly. And if we plan skillfully, then we'll plan well!"" That's what the Great Stalin taught us.",96,1,1,1
"Q: What are the four nations of the uk? A: Scotland, England, Wales, and Northern Ireland.",23,0,0,0
Q: What two countries invaded poland in the beginning of ww2? A: Germany and Soviet Union.,22,0,0,0
Q: What were the causes of the russian revolution in 1917? A: World War I.,21,0,0,0
Q: When did kennedy get elected? A: John F. Kennedy 1961 presidential inauguration.,21,0,0,0
Q: What year did lakers win their first championship? A: 1948 NBL Finals.,21,0,0,0
Q: Who was the leader of the ussr in 1948? A: Joseph Stalin.,20,0,0,0
Q: What kind of currency do they use in thailand? A: Thai baht.,19,0,0,0
Q: What is the national anthem of russia? A: National Anthem of Russia.,18,0,0,0
Q: What kind of economy was the soviet union? A: Communist state.,18,0,0,0
Q: What else is there in orlando besides disney? A: Baldwin Park.,18,0,0,0
Q: Which jane austen books are movies? A: Pride and Prejudice.,18,0,0,0
Q: What war was george washington associated with? A: American Revolutionary War.,17,0,0,0
Q: Who were the major trade partners of russia? A: Uzbekistan.,17,0,0,0
Q: What time zone is birmingham england? A: Greenwich Mean Time.,17,0,0,0
Q: where is lanzarote in a world map? A: Canary Islands.,17,0,0,0
Q: Where do most of the people live in japan? A: Tokyo.,16,0,0,0
Q: what did einstein do? A: Theoretical Physicist.,16,0,0,0
Q: Where is new york in the map? A: New York City.,16,0,0,0
Q: What continent does the bahamas belong to? A: North America.,16,0,0,0
Q: Where did the assyrian empire start? A: Middle East.,16,0,0,0
Q: What do people from spain speak? A: Spanish Language.,15,0,0,0
Q: What countries did mother teresa work in? A: Kolkata.,15,0,0,0
Q: What nation did hitler lead? A: Germany.,13,0,0,0
Q: What dialect do most chinese speak? A: Chinese.,13,0,0,0
Q: Where did vietnam originate? A: Asia.,12,0,0,0
