Text,Number of Tokens,Rating out of 3,Rating,Gan's Rating,Yimin's Rating
Q: Is it true that half of the members of the Central Committee are idiots? A: What a crazy question. Half of the members of the Central Committee are not idiots!,36,2,4,4,4
"Q: Was comrade Lenin a scientist or a politician? A: Of course, a politician. If he were a scientist, he would've first tried his theories on dogs.",36,2,3,4,1
Q: Is it true that the Suez Canal was built to connect the Mediterranean with the Red Sea? A: Not true. It was built to separate Israel from Egypt.,35,2,4,3,4
Q: What is the difference between the capitalist and the socialist trade? A: Capitalist trade means everything is to be sold. Socialist trade means everything is to be bought.,35,2,3,3,2
"Q: What is the difference between newspapers and radio? A: You can use a newspaper to wrap a herring, but you can't wrap it in radio waves.",34,2,3,2,4
"Q: Is there a problem of racism in the USSR? A: No. In our country, both the whites and the blacks are counted among the red.",32,2,4,3,4
Q: What do the leaders of the communist countries have in common with the unemployed in the West? A: They all are uncertain about their next day.,31,2,4,3,4
Q: Why did Stalin work only at nighttime? A: Are you indeed that naive? Even kids know who sets out to work only after dark.,30,2,3,2,3
"Q: Are the bedbugs also builders of socialism? A: Of course, in their veins flows the workers-and-peasants' blood.",29,2,4,5,2
"Q: Why Lenin wore regular shoes, but Stalin wore boots? A: At Lenin's time, Russia was still only ankle-high in shit.",29,2,3,4,2
"Q: When the elections were first held using the Soviet method? A: When Adam was electing his wife, and Eve her husband.",28,2,3,3,3
"Q: What is the easiest way to explain the meaning of the word ""communism?"" A: By means of fists.",26,2,4,5,2
"Q: Is it possible to build communism in America? A: It's possible, but who will we buy grain from?",25,2,3,4,2
Q: is it possible to solve a problem which has no solution? A: We don't answer questions related to agriculture.,25,2,3,2,4
Q: Why the answers of Armenian Radio are often stupid? A: Because these answers are invented not by Armenians.,24,2,3,2,3
Q: What is the greatest achievement of Soviet agriculture? A: Sowing in the USSR and harvesting in America.,23,2,3,4,1
"Q: Is there life on other planets? A: On other planets, there is also no life.",21,2,4,3,4
"Q: Will people have money when communism is built? A: Some will, some will not.",20,2,3,2,3
"Q: Under communism will we still have money? A: No, none of that either.",19,2,3,1,5
Q: What is chaos? A: We do not comment on national economics.,16,2,4,3,4
"Q: In our factory's mess hall, the tea is not sweet at all, while the mess manager says he puts sugar according to the prescribed dose. What shall we do? A: Try to stir your tea counterclockwise rather than clockwise.",51,1,2,2,1
Q: Are there men who do not cheat on their wives when they are on prolonged business trips? A: Of course. Soviet cosmonauts and American astronauts.,34,1,2,1,3
"Q: Is there a difference between capitalism and communism? A: In principle, yes. In capitalism, man exploits man. In communism, it's the reverse.",33,1,2,1,3
"Q: What is Sholokhov writing now? A: A crime novel titled ""How I Received the Nobel Prize in Literature.""",28,1,2,2,1
Q: Is it possible in a socialist country to end up under a train? A: Easier than on a train.,25,1,2,2,2
Q: What is cosmopolitan? A: Cosmonaut's deputy in political affairs.,18,1,2,2,2
Q: What two countries invaded poland in the beginning of ww2? A: Germany and Soviet Union.,22,0,0,0,0
Q: When did kennedy get elected? A: John F. Kennedy 1961 presidential inauguration.,21,0,0,0,0
Q: Who was the leader of the ussr in 1948? A: Joseph Stalin.,20,0,0,0,0
Q: What is the national anthem of russia? A: National Anthem of Russia.,18,0,0,0,0
Q: What else is there in orlando besides disney? A: Baldwin Park.,18,0,0,0,0
Q: What war was george washington associated with? A: American Revolutionary War.,17,0,0,0,0
Q: What time zone is birmingham england? A: Greenwich Mean Time.,17,0,0,0,0
Q: Where do most of the people live in japan? A: Tokyo.,16,0,0,0,0
Q: Where is new york in the map? A: New York City.,16,0,0,0,0
Q: Where did the assyrian empire start? A: Middle East.,16,0,0,0,0
Q: What countries did mother teresa work in? A: Kolkata.,15,0,0,0,0
Q: What dialect do most chinese speak? A: Chinese.,13,0,0,0,0
