Text,Number of Tokens,Rating out of 3,GPT Rating,GPT Explaination,Rating,Gan's Rating,Yimin's Rating
"Q: When the elections were first held using the Soviet method? A: When Adam was electing his wife, and Eve her husband.",28,2,2,"This joke lightly plays on the theme of a lack of choice in Soviet-style elections, suggesting this has been an issue since the beginning of mankind, which could be amusing to some due to its hyperbolic nature",3,3,3
"Q: What is the easiest way to explain the meaning of the word ""communism?"" A: By means of fists.",26,2,1,"This joke highlights the repressive nature of the communist regime's means of enforcing ideology, which reflects historical use of force over persuasion. It's dark humor and may not be funny to everyone due to its sensitive nature",4,5,2
"Q: Is it possible to build communism in America? A: It's possible, but who will we buy grain from?",25,2,3,"This joke plays on the historical context of the Soviet Union having to import grain from its ideological rival, the United States, despite claiming agricultural superiority through collectivism. The humor lies in pointing out the irony and practicality within global political dynamics",3,4,2
Q: is it possible to solve a problem which has no solution? A: We don't answer questions related to agriculture.,25,2,2,"The joke subtly pokes fun at the bureaucratic and often non-sensical responses from Soviet officials when trying to avoid difficult or sensitive questions, especially during times when agriculture was a troubled sector with many problems deemed ""unsolvable"" by the authorities",3,2,4
Q: Why the answers of Armenian Radio are often stupid? A: Because these answers are invented not by Armenians.,24,2,1,"This joke plays on the stereotype of the Armenian Radio jokes, where the humor is usually derived not from the intelligence of the Armenian people, but rather from the witty or satirical nature of the responses. The punchline attempts to subvert the idea that Armenians would give 'stupid' answers, suggesting a degree of self-aware humor. However, it might not be universally understood or humorous to all audiences, and it lacks a strong satirical or absurd element",3,2,3
Q: What is the greatest achievement of Soviet agriculture? A: Sowing in the USSR and harvesting in America.,23,2,2,"This joke capitalizes on the historical grain trade between the Soviet Union and the United States, highlighting the inefficiency and shortcomings of Soviet agricultural policies in a humorous way",3,4,1
"Q: Is there life on other planets? A: On other planets, there is also no life.",21,2,1,"This joke plays on the Soviet-era trope that anything which is scarce or non-existent in Soviet life is similarly scarce or non-existent elsewhere, even extraterrestrially; however, it might be seen as more of a bleak comment than a joke with a punchline",4,3,4
"Q: Will people have money when communism is built? A: Some will, some will not.",20,2,2,"This joke leverages the typical disparities and contradictions within a communist society despite its egalitarian promises, pointing out that even under communism, inequalities will still exist. Its subtlety provides a gentle humor.",3,2,3
"Q: Under communism will we still have money? A: No, none of that either.",19,2,2,"This joke plays on the common criticism of communism's goal to abolish money and proposes a scenario where scarcity under communism leads to an utter lack of money, thus creating a humorous contradiction",3,1,5
Q: What is chaos? A: We do not comment on national economics.,16,2,2,"This joke is quite funny because it cleverly critiques the state of the economy by equating it with chaos, implying that the economic system is so disordered that it could be considered ""national chaos."" The humor also comes from the evasion of a direct answer, which is a subtle dig at political avoidance of difficult topics",4,3,4
"Q: In our factory's mess hall, the tea is not sweet at all, while the mess manager says he puts sugar according to the prescribed dose. What shall we do? A: Try to stir your tea counterclockwise rather than clockwise.",51,1,2,"This joke is mildly funny because it plays on the notion of bureaucratic absurdity, suggesting that following the same illogical instructions but in reverse would somehow improve the situation",2,2,1
Q: Are there men who do not cheat on their wives when they are on prolonged business trips? A: Of course. Soviet cosmonauts and American astronauts.,34,1,2,"This joke plays on the reality that space travel inherently prevents the possibility of infidelity due to the isolation of space, making it a light-hearted jab at the fidelity of spouses left on Earth. It's amusing and easy to understand",2,1,3
"Q: What is Sholokhov writing now? A: A crime novel titled ""How I Received the Nobel Prize in Literature.""",28,1,2,"This joke is moderately funny as it features a jest at the surprise or controversy surrounding Mikhail Sholokhov winning the Nobel Prize, suggesting the process was not straightforward or deserving, much like a crime story",2,2,1
Q: Is it possible in a socialist country to end up under a train? A: Easier than on a train.,25,1,3,"This joke possesses a clear satirical edge, highlighting the chronic inefficiencies and difficulties in transportation within a socialist system. The punchline plays with the contrast between the expectation of easily accessing public transportation and the grim reality of infrastructure issues",2,2,2
Q: What is cosmopolitan? A: Cosmonaut's deputy in political affairs.,18,1,1,"The joke plays on the word ""cosmopolitan,"" which is commonly understood to mean a person who is familiar with and at ease in many different countries and cultures. By blending it with themes of the Soviet space program (""cosmonaut"") and the political system which often required officials to have deputies in political affairs, it creates a mild pun. The humor is not particularly sharp or deeply satirical",2,2,2
Q: When did kennedy get elected? A: John F. Kennedy 1961 presidential inauguration.,21,0,0,This is a factual statement providing historical information rather than a joke,0,0,0
Q: Who was the leader of the ussr in 1948? A: Joseph Stalin.,20,0,0,"This is a historical fact, not a joke",0,0,0
Q: What is the national anthem of russia? A: National Anthem of Russia.,18,0,0,"This is a literal statement without a punchline, satirical twist, or comedic element. It does not constitute a joke",0,0,0
Q: What else is there in orlando besides disney? A: Baldwin Park.,18,0,0,"This joke lacks a clear punchline or relation to Russian political context and doesn't offer satirical commentary or absurdity, making it not funny",0,0,0
Q: What war was george washington associated with? A: American Revolutionary War.,17,0,0,"This is a statement of historical fact, not a joke",0,0,0
